pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad
Kepler-1300 b,1.37,2.45,954.0,0.16005,6130.0,1.79
K2-104 b,1.79,3.86,798.0,0.0242,3712.0,0.48
KOI-134 b,12.03844527,346.43296363,659.0,0.363,6160.0,1.667
TOI-1768.01,3.453,11.8,1566.0,0.076381,5994.0,1.1
KMT-2023-BLG-2209L b,13.9,254.2627256,,3.51,,
HD 150706 b,13.3,772.32302901,108.81,6.7,5961.0,0.96
HR 8799 e,13.11453,3178.3,1150.0,16.4,7400.0,1.49338
Kepler-770 b,2.3,5.9,1171.0,0.1694,5598.0,0.92
HD 95089 b,13.7,400.4658,458.34,1.36,4918.0,5.08
HIP 10090 c,13.9,270.15414595,338.35,0.9,5661.0,1.38268
Kepler-1600 c,1.94206512,4.43,786.0,0.06961,5119.0,0.834
TOI-1782.01,2.368,6.2,697.84,0.05024,4336.0,0.669
Kepler-855 b,8.35,52.7,996.0,0.0762,5835.0,1.03
KMT-2021-BLG-0748L b,14.3,143.02278315,,2.43,,
Kepler-24 e,2.78,26.2118,792.0,0.138,5897.0,1.289
Kepler-1435 b,0.86,0.566,1331.0,0.05456,6356.0,1.32
Kepler-1771 b,4.05537256,15.5,391.0,0.3815,5661.0,0.934
Kepler-338 b,2.44,30.6,1005.0,0.117,5923.0,1.735
HD 5583 b,12.8,1837.0574,964.55,0.53,4830.0,9.09
HD 188641 b,11.9,9333.03117155,114.36,12.027,5897.32,1.94492
K2-39 b,6.27704,28.6047,1670.0,0.05708,4881.0,2.97
OGLE-2019-BLG-0960L b,1.39,2.5,,1.9,,
Kepler-1872 b,2.38421141,6.28,1005.0,0.0465,5223.0,0.885
GSC 06214-00210 b,20.1762,5000.0,2300.0,320.0,4200.0,0.90484
K2-130 b,1.25,2.1,1013.11,0.032,4356.47,0.744261
HD 89839 b,12.8,1748.0562385,159.03,4.713,6314.0,1.28588
Kepler-106 e,2.56,11.17,531.0,0.24006,5858.0,1.04
Kepler-430 c,1.75,3.71,458.0,0.4757,5884.0,1.485
Ross 508 b,1.83,4.0,293.86,0.05366,3071.0,0.2113
