pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad
HATS-77 b,13.05846252,436.69623122,828.3,0.03607,4071.0,0.6428
WASP-142 b,17.14977,266.9772,2000.0,0.0347,6010.0,1.64
Kepler-597 b,2.37,6.21,743.0,0.10916,5683.0,0.95
HD 29021 b,12.9,1420.69297929,163.2,2.294,5560.0,0.85
GJ 682 b,1.93,4.4,281.93,0.08,3028.0,0.298255
HD 168443 c,12.2,5500.33841154,205.47,2.842,5491.0,1.711479
WASP-53 b,12.038466,677.61356,1053.0,0.04101,4953.0,0.798
Kepler-1857 b,1.96065412,4.5,946.0,0.08308,6074.0,1.005
Kepler-342 c,1.96,4.5,754.0,0.185,6175.0,1.472
Kepler-1251 b,1.84,4.04,487.0,0.2478,5545.0,0.89
TOI-5624 f,3.66,13.0,478.5,0.2366,5327.0,0.82
OGLE-2015-BLG-1649L b,13.2,807.0,,2.07,,
Kepler-242 b,2.61,7.32,742.0,0.075,5020.0,0.85
TOI-220 b,3.03,13.8,805.0,0.08911,5298.0,0.858
Kepler-374 d,1.31,2.27,1272.0,0.056,5977.0,0.911
Kepler-1870 b,2.10143764,5.07,1046.0,0.0452,5508.0,0.84
Kepler-258 b,4.06,15.5,642.0,0.103,4942.0,0.915
WASP-8 b,12.66617,807.2882,1059.0,0.0801,5600.0,1.03
Kepler-1339 b,0.71,0.285,1642.0,0.02356,5586.0,0.93
HD 106252 b,12.5,3178.28407,178.13,2.655,5874.0,1.05
HD 102956 b,13.8,305.1168,1804.96,0.0807,4985.0,4.55
K2-128 b,1.42,2.6,803.1,0.056,4469.51,0.777569
TOI-139 b,2.4566,6.6,561.17,,4570.0,0.7007
GJ 508.2 b,,587.98255295,59.3,4.85,3720.0,0.53
Kepler-244 b,2.76,8.05,1038.0,0.05,5554.0,0.803
TOI-4087 b,13.04725353,232.01473711,1458.0,0.04469,6060.0,1.112
OGLE-2015-BLG-1771L b,14.3,138.0,,0.85,,
HAT-P-66 b,17.82231,248.86089,1896.0,0.04363,6002.0,1.881
DMPP-9 b,3.89,14.43,995.58,0.1097,6092.0,1.26
TOI-4898 b,3.7197954,13.4,667.0,,4201.57,0.639344
HD 101581 c,0.99,0.937,747.0,0.0573,4675.0,0.63
Kepler-1292 b,1.82,3.97,1195.0,0.0443,5556.0,0.93
Kepler-1906 b,2.77615754,8.13,901.0,0.0738,5868.0,0.894
GJ 876 e,3.92,14.6,150.46,0.3343,3293.74,0.3
TOI-1052 c,6.48,34.3,719.0,0.2263,6146.0,1.264
HAT-P-29 b,13.11453,279.6904,1281.0,0.0667,6087.0,1.3
YZ Cet c,1.05,1.14,410.3,0.02156,3151.0,0.157
Kepler-434 b,12.67,908.96,1000.0,0.1143,5977.0,1.38
HD 11755 b,12.8,1789.3829,903.49,1.09,4312.0,20.58
Kepler-1471 b,1.41,2.57,1238.0,0.0453,5660.0,0.93
HD 128717 b,12.1,6293.0024586,151.9,4.85,6210.0,1.248
HAT-P-46 b,14.392,156.684,1458.0,0.0577,6120.0,1.396
TOI-1244 b,2.467,6.6,714.86,0.060694,4599.0,0.721
HD 39855 b,2.85,8.5,1145.89,0.041,5576.0,0.744665
BD-11 4672 c,4.04,15.37,320.21,0.3,4550.0,0.639
Kepler-1442 b,3.93,14.7,522.0,0.40814,6394.0,1.44
Kepler-292 d,2.23,5.6,808.0,0.068,5299.0,0.826
HD 47186 c,13.0,111.42,183.18,2.395,5657.0,1.08
Kepler-692 b,3.11,9.85,639.0,0.1495,5440.0,0.86
EPIC 206042996 b,1.7,3.53,,,4114.0,0.5
OGLE-2012-BLG-0358L b,13.4,588.0,,0.87,,
Kepler-1193 b,1.32,2.3,1453.0,0.04004,5908.0,1.21
HD 75784 c,12.8,1792.5612,149.31,8.4,4867.0,3.4
Kepler-838 b,2.73,7.9,777.0,0.1266,5770.0,0.96
81 Cet b,13.1,1051.05854195,526.92,2.104,4734.0,11.21
Kepler-1058 b,2.72,7.85,239.0,0.3679,4644.0,0.69
TOI-4214 b,10.68215861,165.27077164,1642.0,0.05018,6370.0,1.434
Kepler-391 b,2.5,1100.0,930.0,0.083,5038.0,2.879
Kepler-698 b,3.68,13.1,727.0,0.1255,5612.0,0.91
TOI-3877 b,11.67975789,99.7981198,1445.0,0.0529,5731.0,1.445
Kepler-409 b,1.199,6.0,438.0,0.3192,5421.0,0.897
Kepler-273 b,1.5,2.86,1209.0,0.037,5626.0,0.815
Kepler-636 b,4.45,18.1,614.0,0.1185,5203.0,0.8
Kepler-1914 b,2.9429803,8.97,585.0,0.1954,5982.0,0.96
HD 200964 b,13.5,508.21017,425.95,1.565,4982.0,4.92
pi Men c,2.0189,3.63,1169.8,0.06839,5998.0,1.17
Kepler-150 c,3.69,13.2,876.0,0.073,5560.0,0.939
HATS-43 b,13.22662,82.95363,1003.0,0.04944,5099.0,0.812
TOI-1437 b,2.24,9.6,794.23,0.14,6008.0,1.17
Kepler-685 b,10.58,78.8,1579.0,0.0265,5963.0,1.16
K2-89 b,0.615,0.17,830.07,0.01462,3691.0,0.318
WASP-49 b,12.44199,117.5971,1400.0,0.0379,5600.0,0.97
Kepler-1699 b,1.56671124,3.08,1010.0,0.0418,5575.53,0.725
Kepler-1152 b,0.87,0.59,806.0,0.0223,3964.0,0.53
HD 30669 b,14.3,149.37,151.45,2.69,5400.0,0.91
HD 155918 c,12.8,1878.04805696,77.38,13.183,5771.84,1.01906
Kepler-1391 b,1.68,3.46,513.0,0.30045,5840.0,1.1
TOI-2406 b,2.86,15.6,449.0,0.02267,3100.0,0.204
Kepler-25 c,5.217,15.2,934.0,0.1117,6354.0,1.316
Kepler-1813 b,1.413,2.58,1059.0,0.0364,5167.0,0.787
Kepler-156 b,2.3,5.9,867.0,0.054,5094.0,0.807
Kepler-477 b,2.07,4.94,649.0,0.0911,5240.0,0.79
WASP-66 b,15.6926,746.9005,1569.7,0.0546,6600.0,1.76
Kepler-275 b,2.34,6.08,1015.0,0.098,6165.0,1.383
EPIC 206032309 b,1.01,1.01,,,3489.0,0.37344
HATS-64 b,18.819911,305.1168,1793.0,0.06562,6554.0,2.113
TOI-2876 b,9.6397234,54.03082919,929.0,0.0654,5271.0,0.873
Kepler-80 f,1.21,4459.73,1054.0,0.0175,4540.0,0.678
Kepler-397 b,2.46,6.62,539.0,0.144,5307.0,0.767
Kepler-967 b,2.35,6.12,638.0,0.1027,5178.0,0.8
HIP 94235 b,3.0,379.0,1060.0,0.0787,5991.0,1.08
HD 95735 c,3.76,13.6,63.49,2.94,3719.0,0.3685
HD 126614 b,12.7,107.74382997,209.54,2.249,5568.0,1.369794
G 261-6 b,1.1,1.37,322.3,0.02971,2907.0,0.153162
KOI-351 c,1.19,1.81,987.0,0.089,6080.0,1.2
Kepler-610 b,4.19,16.3,888.0,0.0719,5943.0,1.13
K2-278 b,2.98,9.17,1711.0,0.0488,6747.0,1.61
HIP 111909 b,13.7,384.57237247,436.91,1.32,4891.0,4.53
Kepler-33 e,4.02,5.57,752.0,0.2138,5904.0,1.82
Kepler-1932 b,1.51482218,2.91,1891.0,0.0123,5278.0,0.815
HD 90156 b,4.43,17.98,518.01,0.25,5599.0,0.920286
K2-384 b,1.076,1.26,,,3623.0,0.348
TOI-2068 b,1.821,3.97,520.62,0.0632,3710.0,0.535
Kepler-1382 b,1.88,4.19,959.0,0.14023,6161.0,1.72
Kepler-123 b,2.94,55.3,817.0,0.135,6089.0,1.264
Kepler-1890 b,0.86867375,0.587,1328.0,0.05712,6046.0,1.396
Kepler-1030 b,2.48,6.71,529.0,0.1338,4983.0,0.76
Kepler-112 b,2.36,6.17,809.0,0.076,5544.0,0.841
Kepler-1077 b,2.77,8.1,576.0,0.2101,5816.0,1.02
Kepler-1451 b,3.35,11.2,523.0,0.2101,5782.0,0.99
KMT-2023-BLG-0416L b,3.67,13.03096469,,2.96,,
Kepler-190 c,1.46,2.73,948.0,0.045,5106.0,0.795
HD 153950 b,13.2,937.5985,295.3,1.28,6124.0,1.28
Kepler-1431 b,1.47,2.76,1064.0,0.0648,5806.0,1.03
Kepler-1132 b,2.35,6.12,384.0,0.2881,5298.0,0.83
Kepler-216 c,3.04,9.48,814.0,0.136,6091.0,1.26
CoRoT-13 b,9.92,415.704,1700.0,0.051,5945.0,1.01
Kepler-413 b,4.347,67.0,334.96,0.3553,4700.0,0.7761
HR 2562 b,12.44199,6992.224954,1255.0,22.2,6597.0,1.334
GJ 86 b,12.9,1404.8086,661.12,0.11,5182.0,0.77
GJ 849 b,13.9,283.82076745,73.63,2.32,3467.0,0.45
Kepler-1804 b,1.59615726,3.18,913.0,0.1017,5109.0,1.671
Kepler-267 d,2.27,5.77,301.0,0.154,4258.0,0.555
HD 190360 d,3.48,11.9,459.21,0.3886,5560.0,1.14
Kepler-1704 b,11.94877343,1322.16617312,253.8,2.027,5746.0,1.697
K2-95 b,3.31,11.0,474.0,0.0525,3566.0,0.4
Kepler-204 b,2.53,6.94,828.0,0.117,5812.0,1.238
TOI-5630 b,2.37117553,6.22,1541.0,,5385.64,0.933361
HD 23127 b,13.5,485.32641,223.4,2.37,5843.0,1.49
Kepler-1188 b,2.08,4.98,775.0,0.135,5913.0,1.06
TOI-4562 c,12.8,1833.86990839,138.11,5.219,6096.0,1.152
HD 21411 b,9.52,65.9,408.17,0.362,5605.0,0.825605
Kepler-239 c,2.51,6.85,366.0,0.268,4914.0,0.763
TOI-201 c,10.4,4990.0,169.58,4.37,6423.0,1.31
Kepler-821 b,1.31,2.27,1215.0,0.029,5191.0,0.8
XO-5 b,12.78,378.2,1230.0,0.0515,5430.0,1.13
Kepler-122 d,2.2,5.48,747.0,0.155,6050.0,1.216
NGTS-4 b,3.18,20.6,1650.0,0.019,5143.0,0.84
Kepler-1825 b,1.42200732,2.61,1520.0,0.0187,5123.0,0.847
K2-186 b,3.17207779,10.2,,,5784.0,0.98083
Kepler-579 b,2.0,4.66,730.0,0.0854,5636.0,0.96
Kepler-55 e,1.55,3.02,728.0,0.048,4503.0,0.619
Kepler-1717 b,2.98929758,9.21,780.0,0.2014,6200.0,1.64
MOA-2022-BLG-249L b,2.04,4.83,,1.63,,
HD 216770 b,14.1,181.1631,370.18,0.46,5399.0,0.93
Kepler-1074 b,1.25,2.1,568.0,0.0536,4002.0,0.57
TOI-6016 b,13.67495645,371.85923619,1890.0,0.055,6110.0,1.51
Kepler-1278 b,1.01,1.01,1213.0,0.04417,6074.0,1.16
HD 106270 b,12.4,3623.2438398,237.07,3.34,5509.0,2.66
Kepler-1558 b,0.68,0.244,1019.0,0.04278,5101.0,0.79
TOI-5720 b,1.09,4.3,708.0,0.018288,3325.0,0.383
Kepler-204 c,1.79,3.86,683.0,0.173,5812.0,1.238
HAT-P-39 b,17.609,190.372,1752.0,0.0509,6430.0,1.625
TOI-4578 b,2.26974262,5.77,842.42,,5951.32,0.878735
Kepler-347 c,1.75,3.71,705.0,0.183,6088.0,1.005
Kepler-203 d,1.44,33.9,855.0,0.1,5821.0,1.114
Kepler-786 b,2.43,6.48,348.0,0.25483,4838.0,0.74
Kepler-1905 b,1.4460734,2.69,1212.0,0.0451,5788.0,1.015
Kepler-1513 b,8.594,48.30991786,346.0,0.56971,5491.0,0.95
Kepler-230 c,2.04,4.82,359.0,0.38,5588.0,0.817
HATS-16 b,14.5717,1039.3041,1592.0,0.03744,5738.0,1.238
Kepler-1091 b,1.46,2.73,1664.0,0.0252,5851.0,1.03
TOI-251 b,2.74,317.83,1041.19,0.05741,5875.0,0.881
Kepler-1713 b,1.71673535,3.59,900.0,0.14185,6477.0,1.459
K2-3 c,1.582,2.68,371.8,0.1357,3844.0,0.546
Kepler-295 b,1.22,1.98,741.0,0.099,5603.0,0.898
HATS-3 b,15.48,340.382,1648.0,0.0485,6351.0,1.404
Kepler-1121 b,1.91,4.31,1008.0,0.11818,6231.0,1.59
Kepler-466 c,1.25,2.1,1206.0,0.04658,5927.0,1.05
Kepler-197 c,1.23,5.3,930.0,0.09,6004.0,1.12
TOI-1839 b,2.21895097,5.56,1405.35,,5315.91,0.848099
CoRoT-36 b,15.80466279,216.12331676,1567.0,0.066,6730.0,1.52
Kepler-402 d,1.38,2.48,1006.0,0.087,6090.0,1.264
TOI-1478 b,11.99360935,279.68899816,918.0,0.0818,5597.0,1.048
GJ 832 b,13.8,314.65012293,57.84,3.7,3472.0,0.441557
Barnard b,0.72,0.299,438.0,0.0229,3195.0,0.185
TOI-969 c,12.4,3591.4609991,96.4,2.52,4435.0,0.671
GJ 3082 b,2.79,8.2,457.53,0.079,3910.0,0.465216
TOI-1294 b,10.12369881,63.9,1392.74,0.051,5718.0,1.5566
HD 222155 b,13.4,581.62598481,164.93,5.14,5701.0,1.85
KOI-351 b,1.31,2.27,1062.0,0.074,6080.0,1.2
WASP-151 b,13.30506009,100.43377661,1312.0,0.055,5871.0,1.181
HD 117618 b,8.59,55.30242,745.79,0.18,5990.0,1.2
Kepler-1629 b,0.77,0.381,1081.0,0.0485,5776.0,1.01
Kepler-414 b,1.71,3.5,1024.0,0.0543,5536.0,0.946
HIP 57274 d,14.2,167.4,183.59,1.01,4640.0,0.68
K2-289 b,9.1,61.0,753.0,0.107,5529.0,1.025
HD 102888 b,12.8,1808.44363583,688.63,1.05,4990.0,8.6
K2-38 b,1.54,7.3,1266.0,0.04994,5731.0,1.06
GJ 1002 b,1.03,1.08,230.9,0.0457,3024.0,0.137
HD 212301 b,14.2,162.0933,1870.75,0.03,6239.0,1.16
Kepler-1680 b,1.35954736,2.42,771.0,0.07642,5021.0,0.723259
K2-378 b,2.88,8.65,,,4823.0,0.732
HD 43197 b,14.2,175.75910907,282.81,0.882,5508.0,1.0
Kepler-379 c,2.29,5.86,530.0,0.326,6054.0,1.306
Kepler-1321 b,4.92,21.5,408.0,0.0781,4094.0,0.53
Kepler-29 b,2.55,5.0,777.0,0.08482,5378.0,0.732
Kepler-1486 b,2.32,5.99,538.0,0.2846,5965.0,1.12
Kepler-1718 b,2.5685207,7.12,345.0,0.48418,5731.0,0.906
HD 181433 c,,2207.00045821,153.53,1.885,4918.0,0.79
Kepler-1599 b,1.62,3.26,407.0,0.4823,5767.0,0.99
HD 25912 b,6.9,38.13940884,579.16,0.242,5920.58,0.995896
TOI-5108 b,6.6,32.0,1180.0,0.073,5808.0,1.29
BD-08 2823 b,,2948.49413174,798.86,0.06,4816.0,0.71
TOI-4914 b,12.87,227.0,894.0,0.098,5805.0,1.0
TOI-4495 b,2.483,7.7,1735.0,0.03957,6210.0,1.309
K2-37 c,2.41,6.39,839.0,0.06534,5352.0,0.809
Kepler-911 b,2.6,7.27,931.0,0.15594,6112.0,1.99
HD 114783 b,13.7,349.6,210.79,1.16,5135.0,0.840622
USco1556 b,12.3,4767.45,2240.0,3500.0,3410.0,0.668108
Kepler-1679 b,2.0692036,4.93,813.0,0.0892,5501.0,0.873196
Kepler-238 b,1.73,3305.02,1642.0,0.034,5751.0,1.43
Kepler-67 b,2.94,8.96,602.0,0.1171,5331.0,0.778
Kepler-350 c,3.1,6.1,888.0,0.1385,6492.3,1.25
Kepler-1327 b,1.8,3.89,831.0,0.11151,5885.0,1.03
Kepler-677 b,5.38,25.0,1015.0,0.067,5723.0,0.99
HD 187123 c,13.2,912.16752809,135.42,4.89,5790.0,1.15043
Kepler-773 b,1.43,2.63,1160.0,0.04682,5850.0,1.01
BD-06 1339 c,8.38,53.0,261.91,0.435,4324.0,0.686355
Kepler-816 b,10.24,74.5,668.0,0.0895,5286.0,0.85
HD 51608 b,3.62,12.77,759.92,0.1059,5358.0,0.916136
HD 202696 b,,634.38868,492.46,1.566,5040.0,6.43
HD 219134 c,1.511,4.36,782.0,0.0653,4699.0,0.778
K2-239 d,1.1,1.37,399.0,0.0685,3420.0,0.36
NGC 2682 YBP 401 b,14.3,146.2018,,,6165.0,1.215821
HD 142 b,12.7,2256.5816897,358.19,1.039,6245.0,1.47
HD 125390 b,11.9,8646.20398403,320.26,3.496,4882.0,6.47
Kepler-182 c,3.43,11.6,729.0,0.157,6250.0,1.146
Kepler-880 c,2.87,8.6,1407.0,0.1216,6900.0,2.599
Kepler-1303 b,1.42,2.6,891.0,0.0751,5771.0,1.0
Kepler-110 c,2.21,5.52,743.0,0.198,5960.0,1.149
Kepler-273 c,1.98,4.58,865.0,0.073,5626.0,0.815
Kepler-1016 b,2.18,5.39,1540.0,0.03044,5821.0,1.0
GJ 273 b,1.51,2.89,292.47,0.091101,3382.0,0.293
HIP 54373 c,3.57,12.44,463.2,0.099,4021.0,0.564998
Kepler-34 b,8.564,69.92,294.42,1.0896,5913.0,1.1618
HD 108236 e,3.083,9.71,636.0,0.1367,5660.0,0.877
Kepler-1232 b,1.93,4.38,523.0,0.16545,5471.0,0.89
L 363-38 b,2.0,4.67,330.0,0.048,3129.0,0.274
TOI-375 b,10.77183045,236.78216321,1373.0,0.099,5259.9,2.9
WASP-64 b,14.247,403.945,1689.0,0.02648,5400.0,1.058
Kepler-417 c,2.69,7.7,616.0,0.1194,5177.0,0.806
TIC 24750448 c,3.09028272,9.75,,,4545.43,0.713599
K2-408 b,1.677,3.45,,,5335.0,0.784
WASP-190 b,12.89035,317.83,1500.0,0.0663,6400.0,1.6
HIP 55507 b,12.6,2585.53409095,76.05,5.062,4171.0,0.723643
Kepler-940 b,3.34,11.1,486.0,0.3059,5769.0,0.96
Kepler-398 c,1.01,1.01,536.0,0.087,4493.0,0.613
MOA-2015-BLG-337L b,6.42,33.7,,0.24,,
WASP-74 b,15.24424,228.8376,1865.0,0.03443,5990.0,1.42
HD 96063 b,13.7,403.6441,500.75,1.11,5020.0,4.75
Kepler-524 c,0.96,0.84,1574.0,0.03046,6014.0,1.1
Kepler-1916 b,2.61757235,7.35,635.0,0.2053,6246.0,1.092
TOI-1648 b,2.54,7.4,799.0,0.0694,4850.0,0.81
Kepler-399 d,1.89,4.23,486.0,0.261,5502.0,0.68
Kepler-534 c,1.227,2.02,933.0,0.0761,5936.0,0.965
TOI-5817 b,3.08,10.3,950.0,0.1223,5770.0,1.427
TIC 320419023 b,2.77280763,8.11,,,5703.36,0.952319
Kepler-1063 b,1.49,2.83,931.0,0.1176,5945.0,1.14
TIC 65612701 b,5.07802804,22.7,,,5692.29,1.73709
Kepler-391 c,2.88,450.0,662.0,0.164,5038.0,2.879
TOI-1105 b,3.05823658,9.58,594.0,,4678.46,0.755833
Kepler-136 c,1.99,4.62,847.0,0.133,6165.0,1.355
EPIC 249893012 d,3.94,10.18,752.0,0.22,5430.0,1.71
Kepler-283 b,2.13,5.18,488.0,0.082,4351.0,0.566
TOI-5595 b,4.73740402,20.1,621.0,,4417.3,0.743344
Kepler-1705 b,2.03,4.47,789.0,0.08,6312.0,1.259
HD 3651 b,10.1,72.46524,432.84,0.295,5221.0,0.871954
OGLE-2014-BLG-1722L c,11.0,83.7,,1.7,,
HAT-P-52 b,11.309881,259.98494,1218.0,0.03694,5131.0,0.893
HD 154391 b,12.5,2892.2385037,253.57,7.46,4909.0,8.56
K2-38 c,2.29,8.3,916.0,0.09514,5731.0,1.06
Kepler-1982 b,0.77,0.381,1282.0,0.0511,6202.0,1.122
KMT-2016-BLG-1337L b,11.4,88.99195396,,3.97,,
TOI-697 b,2.35859364,6.16,839.8,,5681.95,0.968149
TOI-4747 b,3.95803201,14.8,1035.0,,5595.08,0.988751
Kepler-292 f,2.35,6.12,563.0,0.141,5299.0,0.826
Kepler-184 c,1.97,8.8,630.0,0.141,5788.0,0.873
XO-6 b,23.20263,1398.452,1577.0,0.0815,6720.0,1.93
Kepler-1859 b,1.58313575,3.13,1455.0,0.0394,5887.0,1.235
TOI-3912 b,14.28024141,129.03833324,1512.0,0.0463,5725.0,1.392
Kepler-650 b,2.96,9.06,1507.0,0.0421,5849.0,1.35
K2-261 b,9.26982704,68.96876432,1036.0,0.1086,5490.0,1.663
Kepler-128 b,1.421,3.79,968.0,0.12545,6072.0,1.659
Lupus-TR-3 b,9.976,257.431,1013.56,0.0464,5000.0,0.82
Kepler-1281 b,1.64,3.33,1123.0,0.0415,5353.0,0.83
HATS-34 b,16.02887,299.07803,1445.0,0.03166,5380.0,0.98
Kepler-1693 b,1.28938413,2.21,807.0,0.1011,5432.34,0.878295
Kepler-1087 b,0.61,0.165,2161.0,0.01554,5589.0,0.94
MOA-2016-BLG-319L b,14.1,200.0,,0.95,,
Kepler-104 b,3.1,19.6,852.0,0.094,5711.0,1.349
HD 164922 e,3.23,10.52012027,543.73,0.2292,5393.43,1.001813
HAT-P-51 b,13.50682174,97.57332095,1168.2,0.05042,5453.0,0.995
TOI-1226 b,2.4101112,6.39,1123.44,,5434.91,0.986943
Kepler-491 b,8.92,59.0,1111.0,0.05191,5582.0,1.03
Kepler-1849 b,2.38685349,6.29,355.0,0.2597,4806.0,0.729
Kepler-316 c,1.16,1.65,577.0,0.058,4204.0,0.52
DMPP-1 d,2.02,4.72,1632.0,0.04467,6196.0,1.26
HD 164922 d,1.83,4.0,787.68,0.103,5390.0,0.946
Kepler-533 b,3.38,11.4,423.0,0.16704,4758.0,0.72
TOI-3894 b,15.27784069,260.61929374,1531.0,0.05354,6000.0,1.502
Kepler-392 c,1.1,1.37,901.0,0.093,5938.0,1.129
K2-123 b,2.76,8.05,338.0,0.1649,4035.0,0.59
TIC 183374187 b,14.03364384,177.98390792,1379.0,,5768.0,1.344
TIC 290487717 b,6.63777941,35.7,,,5328.97,0.943767
Kepler-1543 b,2.71,7.8,1774.0,0.0867,6561.0,1.65
CoRoT-10 b,10.87,874.0,600.0,0.1055,5075.0,0.79
HD 45184 b,3.52,12.19,1156.34,0.0644,5869.0,1.075139
Kepler-1470 b,1.07,1.24,574.0,0.116,4961.0,0.76
GJ 1061 d,1.16,1.67,242.03,0.054,2953.0,0.156
TOI-1249 b,3.2710301,11.9,726.89,0.109,5497.0,0.9785
Kepler-715 b,3.75,13.5,876.0,0.0933,5871.0,1.04
TOI-969 b,2.765,9.1,941.0,0.02636,4435.0,0.671
KMT-2021-BLG-1077L b,9.86,69.92224954,,1.26,,
K2-224 c,2.41,6.39,764.0,0.0886,5620.0,0.84
Kepler-700 b,5.99,30.0,452.0,0.3577,5692.0,0.96
Kepler-472 b,3.22,10.5,876.0,0.04823,4996.0,0.78
Kepler-1444 b,2.18,5.39,581.0,0.20906,5810.0,1.05
TYC 2187-512-1 b,12.5,104.88337431,114.69,1.22,3734.0,0.495
HD 142 c,12.4,3464.64746471,116.56,9.811,6245.0,1.47
Kepler-1129 b,2.96,9.06,737.0,0.16481,5831.0,1.0
Kepler-824 b,1.87,4.16,1231.0,0.055,6035.0,1.22
HIP 99770 b,12.2,5403.082919,135.17,15.8,8000.0,1.93986
KMT-2021-BLG-0852L b,14.2,155.73591943,,7.78,,
OGLE-2016-BLG-0613L AB b,13.0,1330.0,,6.4,,
HD 5319 c,13.8,334.67499,340.67,1.93,4871.0,4.06
K2-168 b,1.86,4.12,766.35,,5502.7,0.83
Kepler-1236 b,2.14,5.22,480.0,0.1803,5337.0,0.82
Kepler-1275 b,1.48,2.79,1368.0,0.0488,6296.0,1.36
Kepler-62 d,1.95,14.0,510.0,0.12,4925.0,0.64
Kepler-720 b,8.41,53.4,1162.0,0.0539,5618.0,0.92
Kepler-1690 b,2.81109223,8.3,267.0,0.7097,5404.0,0.862346
SR 12 AB c,12.3,4131.62,,,3828.93,1.103075
Kepler-150 b,1.25,2.1,1131.0,0.044,5560.0,0.939
Kepler-1428 b,1.64,3.33,1049.0,0.11051,6184.0,1.36
Kepler-1133 b,1.97,4.54,703.0,0.0983,5569.0,0.9
GJ 328 b,13.3,797.74930157,73.57,4.11,3897.0,0.63
HD 16175 b,12.8,1875.1876013,259.78,2.12,5981.0,1.72
HR 5183 b,13.1,1052.01202717,171.0,18.0,5794.0,1.53
Kepler-1307 b,2.47,6.66,768.0,0.1369,5884.0,1.08
Kepler-1195 b,2.08,4.98,702.0,0.0726,4965.0,0.71
TIC 142589416 b,2.67899519,7.65,,,4396.27,0.713832
Kepler-325 c,2.54,6.99,721.0,0.105,5752.0,1.003
K2-244 b,1.75,3.71,638.0,0.1418,5677.0,0.92
EPIC 212737443 c,2.69,7.7,316.0,0.28,4684.0,0.673
Kepler-1816 b,1.9679397,4.53,310.0,0.35647,5051.0,0.706
WASP-36 b,14.874343,750.39663,1733.0,0.02677,5959.0,0.985
Kepler-1176 b,2.45,6.57,595.0,0.1589,5844.0,1.02
Kepler-1783 b,1.31946731,2.3,1088.0,0.07595,5129.0,1.781
TOI-1634 c,,,,,3472.0,0.45
Kepler-106 d,0.95,8.1,649.0,0.16063,5858.0,1.04
TOI-2194 b,1.9892,4.61,590.88,,4756.0,0.6909
Kepler-189 b,1.21,1.92,678.0,0.088,5235.0,0.75
KMT-2017-BLG-0165L b,6.45,34.0,,3.45,,
Kepler-1143 c,3.6,12.6,234.0,0.6477,5053.0,0.77
TOI-261.02,3.34822227,11.2,1007.53,,5890.3,1.31383
HATS-30 b,13.170575,224.38798,1414.0,0.04354,5943.0,1.061
K2-136 d,1.565,3.0,420.0,0.1538,4500.0,0.677
HD 177830 c,7.87,47.6725,538.95,0.5137,4949.0,2.62
TOI-1693 b,1.41,2.57,764.0,0.0226,3499.0,0.46
TOI-2587 A b,12.07207221,69.28659273,1445.0,0.0635,5760.0,1.726
Kepler-837 b,2.56,7.08,701.0,0.1144,5403.0,0.81
Kepler-1031 b,0.87,0.59,2024.0,0.0218,6011.0,1.12
Kepler-1154 b,2.34,6.08,1314.0,0.0631,6327.0,1.43
Kepler-919 b,2.25,5.69,869.0,0.0981,6113.0,1.21
Kepler-60 b,1.71,4.19,1102.0,0.07255,5905.0,1.257
HD 115954 b,12.6,2685.65003915,144.9,5.0,5957.0,1.213
OGLE-2018-BLG-1119L b,13.9,289.22385037,,4.06,,
Kepler-1490 b,3.04,9.48,348.0,0.3729,5515.0,0.87
HD 42012 b,13.5,508.528,182.63,1.67,5405.0,0.82
Kepler-556 b,2.24,5.65,766.0,0.09833,5740.0,0.98
Kepler-109 c,2.65,8.2,859.0,0.1546,5950.0,1.387
Kepler-48 e,13.4,657.0,171.49,1.898274748,5194.0,0.89
HD 49674 b,6.2,31.783,1113.78,0.06,5602.0,1.02
Kepler-101 c,1.25,3.78,1413.0,0.0684,5667.0,1.56
K2-59 b,2.41,6.39,566.37,0.1354,5055.0,0.731
KELT-24 b,12.71098411,1458.83238813,1391.0,0.0665,6426.0,1.338
Kepler-1200 b,1.06,1.2,1174.0,0.0188,4612.0,0.7
Kepler-26 d,1.07,1.24,652.0,0.039,4486.0,0.571
2MASS J19383260+4603591 b,13.4,603.877,669.65,0.92,29564.0,0.203
Kepler-363 c,1.69,66.4,1054.0,0.079,5593.0,1.485
LHS 1678 c,0.941,1.4,510.9,0.0327,3490.0,0.329
HATS-12 b,7.76,759.6137,1446.0,0.0441,6357.0,1.17
Kepler-858 b,4.87,21.1,399.0,0.33939,5653.0,0.91
Kepler-450 d,0.837,17.6,1199.0,0.0827,6197.21,1.64162
K2-316 c,1.83,4.01,423.0,0.0582,3436.0,0.379
Kepler-1892 b,1.83707938,4.03,822.0,0.0633,5383.0,0.759
Kepler-432 b,12.834305,1719.4603,812.0,0.301,4995.0,4.06
K2-396 c,3.124,9.93,,,5236.0,0.92
Kepler-1108 b,1.46,2.73,1063.0,0.0511,5406.0,0.84
Kepler-203 b,2.57,7.13,1308.0,0.043,5821.0,1.114
Kepler-1656 c,14.0,126.4,161.19,3.053,5569.0,1.1
2MASS J01033563-5515561 AB b,12.3,4131.79,,84.0,,
HD 143105 b,13.7,384.5743,2028.25,0.0379,6380.0,1.647304
Kepler-1992 b,0.91,0.693,637.0,0.1169,5383.0,0.842
