pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_orbper,st_lum,st_teff,st_spectype,st_rad,discoverymethod,disc_year,pl_trandur,pl_orbeccen,hostname,sy_pnum,curationCategory,_esi_rank_display,_hzd_rank_display
KELT-9 b,21.70058664,915.34581216,3921.0,0.03368,1.4811235,1.58995,9270.0,A,2.418,Transit,2017,4.1588291,0.0,KELT-9,1,extreme,0.021606534911041066,-5.513046436840187
TOI-2109 b,15.098497,1595.49860314,3646.0,0.01791,0.67247414,0.67302,6540.0,F,1.698,Transit,2021,1.801,,TOI-2109,1,extreme,0.033297600101849276,-5.499467920264486
WASP-33 b,17.855937,665.21819,2781.7,0.0239,1.21987,0.81944,7430.0,A,1.444,Transit,2010,2.8536,0.0,WASP-33,1,extreme,0.03710063513233992,-5.494461650847547
HAT-P-7 b,16.92559,584.8072,2733.0,0.03809,2.20474,0.8142,6389.0,F6 V,2.0,Transit,2008,3.88216,0.0,HAT-P-7,1,extreme,0.038720908999518494,-5.467738195371292
TOI-2260 b,1.62,3.26,2609.0,0.0097,0.3524728,-0.19851,5534.0,G V,0.94,Transit,2022,0.578,,TOI-2260,1,extreme,0.09413939393640698,-5.480721232008835
MASCARA-1 b,17.90074218,1175.971,2594.3,0.040352,2.14877381,1.08279,7490.0,A8,2.082,Transit,2017,4.226,0.00034,MASCARA-1,1,extreme,0.044158946642676805,-5.483531340857786
TOI-1518 b,21.05046575,581.62598481,2546.0,0.03712,1.90261131,0.98408,7299.0,F0,1.942,Transit,2021,2.395,0.01,TOI-1518,1,extreme,0.035530201912022524,-5.481840566184021
WASP-103 b,17.127,473.547,2508.0,0.01985,0.925542,0.413,6110.0,F8 V,1.436,Transit,2014,2.593,0.0,WASP-103,1,extreme,0.04125225968975813,-5.4800176577344075
Wendelstein-2 b,12.9934728,232.33373,2470.0,0.0234,1.7522239,-0.83411,4591.0,K6 V,0.66,Transit,2020,2.1714375,0.057,Wendelstein-2,1,extreme,0.04631557010368387,-5.247745007803671
WASP-178 b,20.28829,527.5978,2470.0,0.0558,3.3448285,1.21484,9360.0,A1 IV-V,1.67,Transit,2019,3.4704,0.0,WASP-178,1,extreme,0.0373775351288727,-5.473160747460445
