pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,st_teff,st_rad,pl_density,interior_esi,surface_esi,habitability_index
Barnard e,0.637,0.193,340.0,0.0381,3195.0,0.185,4.116682625786017,0.8563342271228015,0.4230940461025403,0.6019218495531441
K2-125 b,2.18,5.39,321.22,0.121,3654.47,0.402049,2.868320381338488,0.7154753722732742,0.506009548019665,0.6016954127656293
TOI-1224 c,2.884,8.67,303.12,,3326.0,0.404,1.992699004492738,0.5900107910732942,0.6046466558022074,0.5972838954045909
HD 165155 b,13.2,918.5287,239.9,1.13,5426.0,0.95,2.2018073216322485,0.42383888542853354,0.8412184072489919,0.5971106029291214
Kepler-1503 b,2.27,5.77,321.0,0.3771,5069.0,0.74,2.7196099165628786,0.6965168507329984,0.5070889245531982,0.5943029368692171
L 363-38 b,2.0,4.67,330.0,0.048,3129.0,0.274,3.218364788651383,0.7569214486015143,0.46506306541375586,0.5933095390806058
Kepler-505 b,2.6,7.27,314.0,0.1445,3931.0,0.53,2.2804614832466252,0.6351177444308537,0.5428941177941455,0.5871981671958759
EPIC 212737443 c,2.69,7.7,316.0,0.28,4684.0,0.673,2.180932677394,0.6200360212990013,0.5323681911625322,0.5745323795179542
HIP 8541 b,12.6,2451.7283316,305.12,3.729,4672.0,6.84,6.757235964058838,0.5467925871305,0.592697581964479,0.569282569756311
Kepler-413 b,4.347,67.0,334.96,0.3553,4700.0,0.7761,4.496910629926186,0.7136443140998655,0.44366141402701975,0.5626868094294454
HD 196050 b,12.9,1493.7935129,207.52,2.65,5879.0,1.42,3.836452387208218,0.51783546575121,0.5464037369217114,0.5319278462320393
HD 28254 b,13.0,1207.7479466,212.28,2.45,5664.0,1.48,3.030781484117198,0.4780558193213492,0.5856785223771865,0.5291380026741068
HD 196885 A b,13.2,819.97,224.21,2.37,6254.0,1.31,1.965552028498179,0.4055622285308291,0.6903475533136835,0.5291303168244123
HD 153950 b,13.2,937.5985,295.3,1.28,6124.0,1.28,2.247519584365098,0.42717127547679934,0.6541785519464517,0.5286267931391024
Kepler-610 c,3.3,10.9,318.0,0.5594,5943.0,1.13,1.6722186117544904,0.5341577183610622,0.522082086432878,0.5280853871166755
Kepler-1036 b,3.01,9.32,326.0,0.47726,5533.0,0.89,1.8841904579408784,0.5718521124038106,0.48321317155261717,0.5256676448990455
Kepler-56 d,12.8,1784.0,324.75,2.16,4819.44,4.21799,4.690005106755706,0.5513857937097907,0.4890555106059876,0.5192862995339175
Kepler-230 c,2.04,4.82,359.0,0.38,5588.0,0.817,3.1301482744192746,0.746988666458183,0.35502756325372464,0.5149772480710172
K2-123 b,2.76,8.05,338.0,0.1649,4035.0,0.59,2.1109454404998327,0.6090269685538049,0.43111823605806493,0.512408657611
K2-3 c,1.582,2.68,371.8,0.1357,3844.0,0.546,3.731846149441578,0.8293452121596403,0.31641847327114603,0.5122696026959711
Kepler-786 b,2.43,6.48,348.0,0.25483,4838.0,0.74,2.4898005559627174,0.6654056147778548,0.3927091143464307,0.5111857291245068
GJ 581 c,2.5,6.81,346.13,0.0718,3500.0,0.302,2.4028986886266703,0.6529337627586335,0.3995746218813228,0.5107795624022464
HD 34445 f,6.88,37.9,266.14,1.543,5836.0,1.38,0.6416264663131528,0.29249672779446567,0.886412725916008,0.5091883951994634
Kepler-1718 b,2.5685207,7.12,345.0,0.48418,5731.0,0.906,2.316536555331385,0.64049339786198,0.40379190248024044,0.5085528956251478
Kepler-1630 b,2.19,5.43,182.0,1.1218,4736.0,0.63,2.8502034377949945,0.7132418604760347,0.3606278830278677,0.5071635852763191
Kepler-1126 b,1.73,3.64,374.0,0.41251,5798.0,0.93,3.875890051245424,0.8261189696503177,0.31029228748007903,0.5062986715600615
HD 100777 b,13.7,390.92894061,264.28,1.06,5533.0,1.04,0.8381938994706131,0.2777989584396342,0.9042753163990745,0.501205288318403
GJ 676 A e,2.47,6.67439655,351.55,0.181,3734.0,0.69,2.44190925465078,0.6584666482296804,0.3800545315790879,0.5002531694586084
GJ 180 d,2.66,7.56,187.94,0.309,3371.0,0.413049,2.2145488266854145,0.625126602165763,0.4001014157452354,0.5001140255447054
Kepler-1849 b,2.38685349,6.29,355.0,0.2597,4806.0,0.729,2.550243998159864,0.6737170933321761,0.3682146836293177,0.4980687968312919
16 Cyg B b,13.5,565.7374,228.76,1.66,5750.0,1.13,1.2677159637440119,0.3360020010738072,0.7325767208036686,0.4961322849101038
K2-239 d,1.1,1.37,399.0,0.0685,3420.0,0.36,5.674804261357669,0.9783900224804826,0.24964205387003285,0.4942138147583243
HD 217786 b,12.3,4402.55909376,207.3,2.446,5966.0,1.27,13.043622889667661,0.44101525901954525,0.544623223221772,0.4900889223979761
